Filter,NumPolyps,NumA,NumB,CellsPerPolyp,CombNewNPolyp,PercentB,SymAP_C,SymAP_N,HostAP_N,HostAP_C
101,10,0,4872247.502,487224.7502,0.018933348,100,1.286959539,0.3959905,0.410469,1.263428
105,9,4549.110062,6700859.982,745045.4546,0.013233761,99.93215761,1.284645663,0.3903612,0.4034589,1.236962
106,9,85996.59825,8861045.34,994115.771,0.011005145,99.03882648,1.341251086,0.3947584,0.3973148,1.273124
107,10,255325.8519,10524521.52,1077984.737,0.013269681,97.63145207,1.305243402,0.3923127,0.3980563,1.295937
108,10,491461.8381,13384387.37,1387584.921,0.016534964,96.45814948,1.32969879,0.4096669,0.4065371,1.263959
109,10,351980.5656,6659797.125,701177.769,0.018577163,94.98015224,1.315773671,0.4022617,0.4163337,1.286605
110,10,506514.2705,6272299.018,677881.3289,0.01616433,92.52798021,1.303787433,0.4002529,0.4162411,1.248422
111,9,621110.4516,4221222.363,538036.9794,0.013842324,87.17332171,1.268015031,0.3878741,0.3939399,1.26188
112,10,996526.2869,4677027.239,567355.3525,0.021420916,82.43558852,1.311633042,0.3996621,0.4117343,1.259547
113,7,555460.641,1537041.545,298928.8837,0.005644367,73.45471634,1.271227622,0.3817901,0.3861752,1.208421
114,9,1597340.86,2157804.122,417238.3314,0.008935189,57.46260483,1.265148806,0.4021895,0.4190225,1.229272
115,6,229227.5,231467.1,268738.5353,NA,50.24306048,1.259006022,0.4070939,NA,1.185102
116,9,4367739.327,3293846.539,851287.3184,0.01537779,42.99170689,1.239443423,0.4058326,0.4116541,1.241311
117,9,2447507.772,1505612.169,439235.5491,0.007087213,38.08668068,1.215628388,0.3970394,0.3944133,1.194409
118,10,4997465.893,2558013.675,755547.9568,0.007970639,33.85640384,1.294673853,0.3893471,0.3905921,1.240244
119,9,5087194.143,2151296.788,804276.7701,0.014714555,29.72023877,1.260571219,0.4087691,0.4054402,1.232608
120,10,4898896.515,1783901.885,668279.84,0.0199639,26.69393536,1.267090883,0.4283049,0.4190101,1.244214
121,10,5459645.271,1660648.176,712029.3446,0.014892149,23.3227491,1.232305026,0.4312368,0.411307,1.217002
122,10,4201847.412,1080313.962,528216.1374,0.015093677,20.45211961,1.259629491,0.412143,0.3917441,1.212762
123,10,4376700.179,909834.3837,528653.4563,0.015035872,17.21041209,1.271095766,0.4297071,0.4046722,1.22586
124,10,6309439.444,1211875.349,752131.4793,0.004206897,16.11254658,1.239702942,0.3870427,0.3813205,1.207339
125,10,6575118.564,1143931.711,771905.0276,0.00389507,14.81959141,1.244632454,0.387278,0.3801078,1.204854
126,10,6695889.933,1040051.154,773594.1087,0.006525566,13.44440376,1.297076568,0.3856543,0.3817383,1.215116
127,10,7497686.216,1027645.018,852533.1234,0.011586003,12.05401866,1.231014857,0.4064317,0.4014853,1.21938
128,12,10206274.92,1194398.442,950056.1137,0.003717881,10.4765605,1.223325494,0.3868815,0.383986,1.177729
129,8,7049341.443,692638.4124,967747.482,0.006929929,8.946528217,1.218864024,0.3881364,0.3903039,1.209986
130,10,7836349.099,674543.5262,851089.2625,0.006321229,7.925649587,1.250400916,0.3859567,0.3847897,1.215746
131,10,9572808.208,666577.4137,1023938.562,0.007249958,6.509935638,1.248556303,0.3868195,0.390753,1.214624
132,10,7330405.882,432468.1002,776287.3982,0.007821404,5.570979268,1.26466382,0.4017117,0.3996982,1.226928
133,10,9697766.642,460590.8527,1015835.749,0.008206813,4.534107536,1.275689811,0.3900165,0.3928354,1.228465
134,10,10077783.23,399663.4481,1047744.668,0.004398716,3.814511878,1.251603367,0.3840535,0.3822042,1.197235
135,10,9090229.336,254177.1482,934440.6484,0.01362536,2.720099438,1.290866954,0.4135151,0.4030906,1.228535
136,10,8723989.505,142164.7861,886615.4291,0.010932708,1.603454908,1.27356283,0.4068336,0.3977652,1.216783
137,11,10081401.34,86986.9629,924398.9368,0.009408592,0.855464606,1.239746559,0.4027427,0.4004047,1.209233
138,10,11689343.21,35038.81136,1172438.202,0.007065872,0.298854228,1.210475587,0.3908672,0.3966773,1.216325
139,9,6513554.766,0,723728.3074,0.023556563,0,1.311343414,0.4631452,0.4304561,1.230056
141,10,3514523.246,0,351452.3246,0.008977081,0,1.229173882,0.4084657,0.4084475,1.212108
143,10,7715720.155,0,771572.0155,0.005946081,0,1.243052578,0.3996081,0.3972185,1.193439
144,10,4904187.348,0,490418.7348,0.032332727,0,1.369730113,0.4605714,0.4255729,1.236844
145,10,8398005.78,0,839800.578,0.031079597,0,1.370273882,0.4750473,0.4466452,1.241177
146,10,7648480.589,0,764848.0589,0.015357639,0,1.278164273,0.4336285,0.4146661,1.208506
147,10,4437110.053,0,443711.0053,0.023864047,0,1.298956399,0.4385287,0.4404066,1.206505
148,10,4703677.473,0,470367.7473,0.025632652,0,1.287568493,0.4628083,0.4300286,1.224754
149,10,4956014.044,0,495601.4044,0.023546737,0,1.265441975,0.4346555,0.423684,1.204771
151,10,5929944.692,0,592994.4692,0.007643119,0,1.239191536,0.4004025,0.3941806,1.179841
156,10,5807569.787,0,580756.9787,0.013808285,0,1.242175937,0.4171427,0.4010903,1.193599
158,10,5814351.689,0,581435.1689,0.018398596,0,1.222905544,0.4212605,0.4043812,1.171631
160,10,9724079.227,0,972407.9227,0.008995535,0,1.219881798,0.3982036,0.3944761,1.201576
