"","Sample","NumA","NumB","Filter","NumTotal","PercentB"
"1",216,0,86566,"101",86566,1
"2",217,0,153094,"105",153094,1
"3",219,0,120659,"101",120659,1
"4",223,0,27333,"101",27333,1
"5",224,0,149617,"101",149617,1
"6",225,0,170301,"101",170301,1
"7",226,0,349320,"101",349320,1
"8",234,0,146219,"105",146219,1
"9",235,0,81991,"101",81991,1
"10",240,0,130898,"101",130898,1
"11",243,0,249052,"101",249052,1
"12",433,0,117386,"105",117386,1
"13",437,0,26333,"101",26333,1
"14",446,0,396179,"105",396179,1
"15",449,0,177186,"102",177186,1
"16",450,0,34862,"102",34862,1
"17",451,0,68234,"103",68234,1
"18",453,0,117448,"103",117448,1
"19",454,0,294193,"105",294193,1
"20",456,0,185747,"104",185747,1
"21",457,0,138917,"104",138917,1
"22",458,0,114569,"103",114569,1
"23",459,0,79769,"103",79769,1
"24",461,0,117620,"104",117620,1
"25",462,0,29734,"102",29734,1
"26",464,0,90045,"103",90045,1
"27",466,0,141993,"104",141993,1
"28",468,0,62420,"103",62420,1
"29",469,0,184935,"104",184935,1
"30",471,0,433154,"105",433154,1
"31",472,0,45142,"105",45142,1
"32",473,0,179090,"104",179090,1
"33",474,0,134134,"104",134134,1
"34",476,0,51031,"102",51031,1
"35",478,0,271099,"104",271099,1
"36",479,0,31247,"102",31247,1
"37",482,0,141786,"104",141786,1
"38",483,0,42830,"102",42830,1
"39",484,0,52237,"103",52237,1
"40",485,0,72548,"103",72548,1
"41",486,0,195770,"104",195770,1
"42",487,0,18021,"102",18021,1
"43",490,0,39238,"102",39238,1
"44",491,0,104198,"103",104198,1
"45",492,0,52543,"103",52543,1
"46",493,0,34407,"102",34407,1
"47",494,0,32551,"102",32551,1
"48",603,0,221497,"105",221497,1
"49",222,715,250094,"106",250809,0.997149225107552
"50",212,716,209416,"106",210132,0.996592617973464
"51",218,2495,541619,"106",544114,0.995414563859779
"52",441,1106,200217,"106",201323,0.994506340557214
"53",213,2828,238365,"106",241193,0.988274949936358
"54",602,1300,107668,"105",108968,0.988069892078408
"55",220,4281,310117,"106",314398,0.98638350116731
"56",214,4844,314027,"106",318871,0.984808903914122
"57",241,4088,255372,"106",259460,0.984244199491251
"58",231,3497,212500,"106",215997,0.983809960323523
"59",445,3648,219951,"107",223599,0.983685079092482
"60",622,2881,142275,"107",145156,0.98015238777591
"61",239,6519,291892,"107",298411,0.978154290558994
"62",227,5806,252720,"107",258526,0.97754191067823
"63",444,4838,207499,"107",212337,0.977215464097166
"64",608,10585,438805,"107",449390,0.976445848817286
"65",211,9013,371131,"107",380144,0.976290563575908
"66",604,8309,324005,"107",332314,0.974996539417539
"67",229,7814,282890,"107",290704,0.973120424899554
"68",230,13538,475839,"107",489377,0.972336256097038
"69",434,4676,144898,"108",149574,0.968737882252263
"70",215,11099,338547,"108",349646,0.968256465110426
"71",460,2141,62238,"108",64379,0.966743813976607
"72",260,71918,2065765,"108",2137683,0.966357032356996
"73",210,10118,280536,"108",290654,0.96518884997282
"74",452,8456,197781,"108",206237,0.958998627792297
"75",236,9944,231497,"108",241441,0.958813954547902
"76",467,2542,59052,"108",61594,0.958729746403871
"77",233,5375,122436,"108",127811,0.957945716722348
"78",606,14149,321360,"108",335509,0.957828254979747
"79",442,10280,225393,"109",235673,0.9563802387206
"80",207,16229,343533,"109",359762,0.954889621471973
"81",209,20336,416305,"109",436641,0.953426270093738
"82",627,4011,79110,"109",83121,0.951745046378172
"83",435,7827,144626,"109",152453,0.948659586889074
"84",601,2775,48376,"109",51151,0.945748861214834
"85",238,3032,52550,"109",55582,0.945449965816271
"86",600,8443,142742,"109",151185,0.944154512683137
"87",447,24568,400673,"109",425241,0.942225702601584
"88",465,3065,49490,"109",52555,0.941680144610408
"89",609,29516,476291,"110",505807,0.941645726532057
"90",621,8702,118021,"110",126723,0.931330539838861
"91",625,33672,446059,"110",479731,0.929810664726691
"92",221,6164,77983,"110",84147,0.926747239949137
"93",618,22922,282322,"110",305244,0.924905976857858
